dataset,pseudo_strategy,mode,n_runs,seeds,mean_val_acc,std_val_acc,min_val_acc,max_val_acc,mean_best_epoch
BowTurnHead,agreement,linear,5,43 44 45 46 47,15.53423927524647,0.9962653395065245,14.415134559019451,16.999733546496138,1
BowTurnHead,gt,linear,5,43 44 45 46 47,93.35464961364242,0.07832101495709708,93.25872635225153,93.44524380495604,16.4
BowTurnHead,none,linear,5,43 44 45 46 47,88.02025046629363,0.12222056958358121,87.82307487343459,88.16946442845723,14.6
HandriseReadWrite,agreement,linear,5,43 44 45 46 47,52.87826899128269,0.07789536739225984,52.755292652552924,52.973225404732254,19
HandriseReadWrite,gt,linear,5,43 44 45 46 47,79.42559153175591,0.20228228936793843,79.24190535491906,79.81787048567871,14.2
HandriseReadWrite,none,linear,5,43 44 45 46 47,75.63823163138231,0.13107431155056518,75.53704856787049,75.88729763387298,13.8
TeacherBehavior,agreement,linear,5,43 44 45 46 47,43.01167873686958,0.05357986603418316,42.956873491224634,43.11345990735304,9.8
TeacherBehavior,gt,linear,5,43 44 45 46 47,69.56090559143995,0.04624530605250658,69.51784432700464,69.64180857310629,18
TeacherBehavior,none,linear,5,43 44 45 46 47,42.377503751549554,0.06872679106029309,42.28485678867358,42.447967638807334,10.2
