dataset,pseudo_strategy,mode,n_runs,seeds,mean_val_acc,std_val_acc,min_val_acc,max_val_acc,mean_best_epoch
BowTurnHead,gt,lora,5,43 44 45 46 47,97.90567545963229,0.10469961473161983,97.76179056754596,98.05488942179589,8.2
BowTurnHead,none,lora,5,43 44 45 46 47,88.65440980548894,0.5246901834328866,87.8763655742073,89.52837729816147,2.2
TeacherBehavior,gt,lora,5,43 44 45 46 47,74.70607424805898,0.10881535454760138,74.59385398316697,74.9135512494291,11.4
TeacherBehavior,none,lora,5,43 44 45 46 47,43.21915573823971,0.4644077275893239,42.297905656684286,43.53754811770079,6.2
